,k_opt,n_opt,m_opt,m6_opt,s0_opt,error_opt,k_real,n_real,m_real,m6_real,s0_real,error
664,241.46356776225502,0.022716705091676663,0.00756178058700408,-0.02522301768946254,93.5402751311915,1.0973931437411732,50.0,0.4,0.09,-0.6,300.0,3.663233093860004
665,242.18322745783914,0.023478506345488325,0.00841254939710422,0.008550027383334907,93.41791632564588,1.0161859638168964,50.0,0.4,0.09,-0.3,300.0,3.793923039660188
666,50.00433626851763,0.0893517629858358,-0.5438846863839271,-1.9346860303645201,5.0142529043209,48273.60860418909,50.0,0.4,0.09,0.0,300.0,4.319575114984954
667,240.33101748355392,0.017753253703955276,0.016045745965743086,0.0438642772754457,92.61509531706126,3.4827706226892907,50.0,0.4,0.2,0.0,300.0,4.24842773408016
668,50.004337736611106,0.09035500177362149,-0.5479362603776711,-1.9344266697059629,5.014259009647941,48508.384272552845,50.0,0.5,0.001,0.0,300.0,4.5146886277933715
669,50.004336026011686,0.09038073501600913,-0.5472772968336472,-1.9344730843260287,5.0142534035317965,48387.176090066416,50.0,0.5,0.01,0.0,300.0,4.61274898692131
670,50.00432906834903,0.09047384689651883,-0.5447421371101457,-1.9346575761958729,5.014231087578009,47845.91604829896,50.0,0.5,0.05,0.0,300.0,4.486476895224418
671,238.3049620403075,0.021503335347169077,0.006674365461358425,-0.0035003789269938647,91.90556341253813,0.9789122807656089,50.0,0.5,0.09,-0.6,300.0,3.610455352372973
672,50.0,0.4,0.001,-2.0,5.0,,50.0,0.5,0.09,-0.3,300.0,
673,237.11923590288933,0.018629480945388112,0.008287456022913506,0.08522417918762845,91.05180590023662,1.447054550865212,50.0,0.5,0.09,0.0,300.0,4.408647492587699
674,236.64048687905006,0.01590370129190615,0.014374281129537573,0.06318146300991721,91.15856599892466,3.729102496315465,50.0,0.5,0.2,0.0,300.0,4.305799519867979
