,k_opt,n_opt,m_opt,m6_opt,error_opt,k_real,n_real,m_real,m6_real,error
34,49.99913873654775,0.7824840798568696,-0.0982033948723842,0.05281754596071856,0.001149160031035326,200.0,0.8,0.2,0.0,0.8418957121035489
35,50.001752668720385,0.09890832761561703,-0.4025613161820154,-0.012497229441472973,0.05447397719600521,300.0,0.1,0.001,0.0,5.558667271631401
36,50.000941234144975,0.0867713295082961,-0.21585705822620788,0.017920731876962984,0.01999251401410352,300.0,0.1,0.2,0.0,2.2846628033815106
37,50.00042382041355,0.7978328081510332,-0.3889970808701799,0.02552044145472113,0.0013104169201776587,300.0,0.8,0.001,0.0,4.8915416956376525
38,49.99983002751622,0.7761319456689195,-0.18474791278942057,0.04932720152572661,0.012249506525764096,300.0,0.8,0.2,0.0,2.069576446168497
39,49.99200724848909,0.3882133022412754,-0.09527998551492789,0.027512961251023395,0.0010244424422046938,80.0,0.4,0.01,0.0,0.860371396897507
40,49.991671413280166,0.4057200741228527,-0.05607257653639399,0.006310711569241785,0.002766587113868049,80.0,0.4,0.05,0.0,0.698149238090606
41,49.990497848718334,0.40283365644376584,-0.016004383641062787,0.01162860679961615,0.001575305192226634,80.0,0.4,0.09,0.0,0.5676216726852404
42,49.99553234547181,0.4963310129463789,-0.09454628272693187,0.02194916998959831,0.000897712206966152,80.0,0.5,0.01,0.0,0.8274857098574476
43,49.99472112325866,0.5095449813939557,-0.05652770479050287,0.0039054604522255816,0.002437005173269721,80.0,0.5,0.05,0.0,0.6703828923535223
44,49.99310060266039,0.5001943617415732,-0.015295953557216921,0.01883153619996095,0.0006982811123777261,80.0,0.5,0.09,0.0,0.5429535822256333
45,49.996705136450856,0.5989473578077766,-0.0944568368593265,0.021488463140694438,0.0006113007913547381,80.0,0.6,0.01,0.0,0.786991033687854
46,49.995414007867986,0.5986043299711474,-0.054497851239290115,0.023100945304673024,0.0004188183299120003,80.0,0.6,0.05,0.0,0.6343033497482501
47,49.993347609623164,0.5993490183726885,-0.014849158478977489,0.022755489812936146,0.0002900455214388427,80.0,0.6,0.09,0.0,0.5166002475613038
48,50.000554204545764,0.2213950642450581,-0.12664601964805922,0.23434809273789867,0.21731751250558293,90.0,0.4,0.01,0.0,1.0193503047291927
49,50.00040440701398,0.2018665905408311,-0.09211271505310577,0.2496558244816117,0.17659236766605618,90.0,0.4,0.05,0.0,0.8187590620744228
50,50.00026305458445,0.1826120912225959,-0.05959314257707424,0.2603436707244205,0.13521110171981696,90.0,0.4,0.09,0.0,0.6609621015298643
51,49.995930112585164,0.5039860201602778,-0.12113118577348127,0.010787690935128888,0.0027329081201529853,90.0,0.5,0.01,0.0,0.9776106596750526
52,50.00030186736232,0.21454283964156123,-0.06853395413948184,0.3839323567876263,0.3041648271140961,90.0,0.5,0.05,0.0,0.7810674471580648
53,49.99419830316416,0.5088189422228862,-0.041997932566325925,0.006197902210716583,0.0020287060293236615,90.0,0.5,0.09,0.0,0.6326111233045045
54,49.99658507916351,0.594541159230388,-0.1190516885534126,0.028412257977584007,0.0003239343679604641,90.0,0.6,0.01,0.0,0.9229328733643989
55,49.996428942634,0.606563338961667,-0.08157236979311769,0.010553853404524437,0.0015878501775762372,90.0,0.6,0.05,0.0,0.7410694851882875
56,49.99495540241358,0.5974689692270108,-0.039886798786032934,0.02579105658617102,0.0002828979209354789,90.0,0.6,0.09,0.0,0.5968428491637883
57,49.99248421858005,0.39908542512111683,-0.1439972017381418,0.013560640038164026,0.003952860640810699,100.0,0.4,0.01,0.0,1.1887055399974027
58,49.992256599778855,0.3972720360459777,-0.10388012916768702,0.017673076593370748,0.0024585611778164774,100.0,0.4,0.05,0.0,0.9497387414859024
59,49.99163229477324,0.3925889117108925,-0.06371917540077243,0.02524035104382838,0.0011781968116317603,100.0,0.4,0.09,0.0,0.7617121074694446
60,49.996112203343614,0.49836589654447677,-0.14311105657382558,0.01907684286868456,0.0019051154131054227,100.0,0.5,0.01,0.0,1.1346065080793308
61,49.99562576289379,0.503329066105008,-0.10386083852741257,0.013122439164920327,0.002310345299364527,100.0,0.5,0.05,0.0,0.9041293993445175
62,49.99480047175932,0.4942726882882189,-0.0626520042272534,0.02755954252344441,0.0005777328253366193,100.0,0.5,0.09,0.0,0.7226588698639508
63,49.9975439986574,0.5957100036710338,-0.1420832708593017,0.02654947639787117,0.000517752755194206,100.0,0.6,0.01,0.0,1.0694374717805284
64,49.99684020923324,0.5851394249127254,-0.1000487204665343,0.04415254424035603,0.0001937225092035506,100.0,0.6,0.05,0.0,0.8498902678942193
65,49.995694534677426,0.5955260157933567,-0.062254825957128376,0.028833008029463807,0.0002450966993374025,100.0,0.6,0.09,0.0,0.6818825944862593
66,50.00032535783751,0.06839932239087335,-0.07389894798804236,-0.0013915827784063033,0.0034398718679182387,50.0,0.1,0.001,0.0,0.36072680275397384
67,49.9997855649172,0.042286385063142605,0.05035896189735313,0.024586817345640756,0.0028461521693854174,50.0,0.1,0.2,0.0,0.21133628387130005
68,49.99966642006191,0.12534333024197086,0.07783672277407074,0.8539728346020129,0.2956717484936822,50.0,0.8,0.001,0.0,0.41745402953310523
69,49.99932401757073,0.04377974122208221,0.15663720050766755,0.5922949926093599,0.03142119966985094,50.0,0.8,0.2,0.0,0.19158570455002158
70,50.00141145192865,0.09268197740665292,-0.32402729197160585,-0.008420321166019207,0.024334719963771397,200.0,0.1,0.001,0.0,3.0193087710681
71,50.00065416678773,0.07521006391206106,-0.14963759511266686,0.023579130912601682,0.013489976643409427,200.0,0.1,0.2,0.0,1.2930648775026674
72,49.99977900946566,0.7977023534329295,-0.3011260289805891,0.026473642459106637,0.0005409780837380666,200.0,0.8,0.001,0.0,2.7153927185824176
73,49.99573321345871,0.7957373061731795,-0.10200595106603375,0.032678805953983495,7.399580400293213e-06,200.0,0.8,0.2,0.0,0.8477003140511935
74,50.00176667262294,0.09685129579814579,-0.405778029583793,-0.011405413111789312,0.05519468094115309,300.0,0.1,0.001,0.0,5.652379025358873
75,50.00097485638637,0.08275630928251598,-0.22336958130850443,0.01944654317749631,0.020770917141992064,300.0,0.1,0.2,0.0,2.419324805350354
76,49.99991408539974,0.797248634409811,-0.3888818176901477,0.026556093574328418,0.000990300389656748,300.0,0.8,0.001,0.0,5.116137239916805
77,49.99868637914964,0.779264971095494,-0.18526956872722775,0.053808374876162995,0.006273354635218176,300.0,0.8,0.2,0.0,1.914776642060694
78,50.0004970015431,0.18575699382535923,-0.11338070289620525,0.25477021959339724,0.20984824969104085,80.0,0.4,0.01,0.0,0.9471584051178384
79,49.984403707897556,0.3994578468373227,-0.05600513278241304,0.014058931341581935,0.0017031339322781179,80.0,0.4,0.05,0.0,0.7773655164521649
80,49.98089210259587,0.39229350687898934,-0.01579238412655542,0.024967472087991587,0.0006564503148373538,80.0,0.4,0.09,0.0,0.64101224973273
